,spectral_centroid,spectral_bandwidth,rolloff,mfcc1,mfcc2,mfcc3,mfcc5,mfcc6,mfcc8,mfcc12,mfcc14,mfcc21,mfcc30,mfcc32,mfcc34,mfcc36,label
17,1909.696753,1886.206615,3996.402995,-450.2633057,61.5644989,-5.516103745,-9.314869881,0.212026775,-7.696957588,-9.54076004,-7.999576569,-6.58928299,-4.447252274,-1.923672199,-3.456446648,-1.836562037,TB
18,2434.453569,2470.180196,5392.272949,-361.2188721,96.15544891,-13.51267338,-14.03256226,21.03529549,-7.518304825,-6.764609814,-2.047960043,-7.065169811,-1.538923264,2.696646929,-0.032978058,0.335703224,TB
19,2756.662871,1939.62196,4879.091724,-455.4429932,38.41777039,-61.26556778,-10.23731899,22.30879021,4.255664825,-13.79768276,-13.48420525,-6.390058994,-3.085097551,-1.623963952,0.529410005,0.358662516,TB
20,2583.166934,2139.571025,4960.213216,-341.6690063,48.31515121,-20.56740761,-16.14284706,26.60390663,-15.43526649,-13.20374107,-12.16137028,-14.83526802,-2.128056049,-3.126147747,2.321200848,0.107692063,TB
21,1912.841678,1714.528655,3665.354919,-290.7295837,99.88436127,-21.74925232,-10.96287632,18.95010185,-6.993889332,-10.39994049,-4.604338646,-11.98705578,-3.803959846,-1.823115826,-1.832371354,-2.629971266,TB
22,2175.508176,1985.340537,4341.133626,-440.5820313,40.79979706,-6.74805069,-22.17736816,-3.095907927,-5.134473324,-5.00158453,-5.801293373,-3.004657984,-0.975257754,-1.848327398,-1.539568305,-1.560904026,TB
23,3509.489791,2784.724601,6721.549479,-380.5923767,43.96115112,-21.00277138,-14.66915798,-6.307584286,-25.73493385,-9.932127953,-6.426995754,0.399390191,-2.855156898,-0.602093399,1.303945184,0.402820975,not_TB
24,1526.359728,1282.259523,2386.895752,-304.4047241,133.2972565,-70.99810028,-17.73236275,-5.905378342,-8.076849937,-14.75041676,4.25097084,-12.20599842,0.253203511,-4.609901905,1.435115695,0.719584405,not_TB
25,2760.735927,2606.791027,5586.47054,-193.1815491,54.29738235,-7.362637997,8.729895592,6.05327177,4.111278534,2.342387915,7.12776804,3.233330965,4.332597733,2.021167517,0.032317832,1.49542439,not_TB
26,3668.663865,3029.887167,7403.035482,-457.4445496,53.76470184,2.954139471,1.005381107,16.29602242,3.595787048,3.4742589,1.67626524,-4.208646774,-6.334466934,4.802197933,-0.087590307,0.282865494,not_TB
